cusip,date,price
91282CPJ4,2025-11-12,99.328125
91282CPJ4,2025-11-13,99.02344
91282CPJ4,2025-11-14,98.789065
91282CPJ4,2025-11-17,98.86719
91282CPJ4,2025-11-18,99.070315
91282CPJ4,2025-11-19,98.882815
91282CPJ4,2025-11-20,99.30469
91282CPJ4,2025-11-21,99.468755
91282CPJ4,2025-11-24,99.789065
91282CPJ4,2025-11-25,100.02345
91282CPJ4,2025-11-26,100.0391
91282CPJ4,2025-11-27,100.0391
91282CPJ4,2025-11-28,99.875005
91282CPJ4,2025-12-01,99.289065
912810UP1,2025-11-13,98.625005
912810UP1,2025-11-14,98.031255
912810UP1,2025-11-17,98.218755
912810UP1,2025-11-18,98.27344
912810UP1,2025-11-19,97.906255
912810UP1,2025-11-20,98.421875
912810UP1,2025-11-21,98.593755
912810UP1,2025-11-24,99.265625
912810UP1,2025-11-25,99.593755
912810UP1,2025-11-26,99.718755
912810UP1,2025-11-27,99.718755
912810UP1,2025-11-28,99.36719
912810UP1,2025-12-01,98.21094
912810UQ9,2025-11-19,98.6875
912810UQ9,2025-11-20,99.171875
912810UQ9,2025-11-21,99.343755
912810UQ9,2025-11-24,99.890625
912810UQ9,2025-11-25,100.25
912810UQ9,2025-11-26,100.3047
912810UQ9,2025-11-27,100.3047
912810UQ9,2025-11-28,99.984365
912810UQ9,2025-12-01,98.99219
91282CNT4,2025-09-02,99.89844
91282CNT4,2025-09-03,100.2578
91282CNT4,2025-09-04,100.71095
91282CNT4,2025-09-05,101.40625
91282CNT4,2025-09-08,101.6953
91282CNT4,2025-09-09,101.3047
91282CNT4,2025-09-10,101.64065
91282CNT4,2025-09-11,101.84375
91282CNT4,2025-09-12,101.47655
91282CNT4,2025-09-15,101.70315
91282CNT4,2025-09-16,101.7891
91282CNT4,2025-09-17,101.2969
91282CNT4,2025-09-18,101.15625
91282CNT4,2025-09-19,100.9766
91282CNT4,2025-09-22,100.8203
91282CNT4,2025-09-23,101.14845
91282CNT4,2025-09-24,100.8203
91282CNT4,2025-09-25,100.6328
91282CNT4,2025-09-26,100.58595
91282CNT4,2025-09-29,100.8828
91282CNT4,2025-09-30,100.7891
91282CNT4,2025-10-01,101.21095
91282CNT4,2025-10-02,101.33595
91282CNT4,2025-10-03,101.0391
91282CNT4,2025-10-06,100.76565
91282CNT4,2025-10-07,101.0078
91282CNT4,2025-10-08,101.0469
91282CNT4,2025-10-09,100.8828
91282CNT4,2025-10-10,101.7344
91282CNT4,2025-10-13,101.7344
91282CNT4,2025-10-14,101.7422
91282CNT4,2025-10-15,101.77345
91282CNT4,2025-10-16,102.21095
91282CNT4,2025-10-17,101.9297
91282CNT4,2025-10-20,102.1641
91282CNT4,2025-10-21,102.3047
91282CNT4,2025-10-22,102.40625
91282CNT4,2025-10-23,101.9922
91282CNT4,2025-10-24,101.9844
91282CNT4,2025-10-27,102.15625
91282CNT4,2025-10-28,102.1953
91282CNT4,2025-10-29,101.375
91282CNT4,2025-10-30,101.20315
91282CNT4,2025-10-31,101.3672
91282CNT4,2025-11-03,101.1016
91282CNT4,2025-11-04,101.3047
91282CNT4,2025-11-05,100.71095
91282CNT4,2025-11-06,101.3203
91282CNT4,2025-11-07,101.21095
91282CNT4,2025-11-10,101.0547
91282CNT4,2025-11-11,101.0547
91282CNT4,2025-11-12,101.4297
91282CNT4,2025-11-13,101.1328
91282CNT4,2025-11-14,100.89845
91282CNT4,2025-11-17,100.9922
91282CNT4,2025-11-18,101.1953
91282CNT4,2025-11-19,100.9922
91282CNT4,2025-11-20,101.4297
91282CNT4,2025-11-21,101.6016
91282CNT4,2025-11-24,101.9141
91282CNT4,2025-11-25,102.14065
91282CNT4,2025-11-26,102.1797
91282CNT4,2025-11-27,102.1797
91282CNT4,2025-11-28,102.01565
91282CNT4,2025-12-01,101.4297
912810UM8,2025-09-02,96.703125
912810UM8,2025-09-03,97.687505
912810UM8,2025-09-04,98.36719
912810UM8,2025-09-05,99.83594
912810UM8,2025-09-08,100.90625
912810UM8,2025-09-09,100.28125
912810UM8,2025-09-10,100.84375
912810UM8,2025-09-11,101.53125
912810UM8,2025-09-12,101.07815
912810UM8,2025-09-15,101.4297
912810UM8,2025-09-16,101.6172
912810UM8,2025-09-17,100.9297
912810UM8,2025-09-18,100.39065
912810UM8,2025-09-19,100.07815
912810UM8,2025-09-22,99.781255
912810UM8,2025-09-23,100.4766
912810UM8,2025-09-24,99.976565
912810UM8,2025-09-25,100.02345
912810UM8,2025-09-26,99.99999
912810UM8,2025-09-29,100.71875
912810UM8,2025-09-30,100.28125
912810UM8,2025-10-01,100.6328
912810UM8,2025-10-02,100.96875
912810UM8,2025-10-03,100.59375
912810UM8,2025-10-06,100.01565
912810UM8,2025-10-07,100.40625
912810UM8,2025-10-08,100.64845
912810UM8,2025-10-09,100.4375
912810UM8,2025-10-10,102.08595
912810UM8,2025-10-13,102.08595
912810UM8,2025-10-14,101.875
912810UM8,2025-10-15,101.9922
912810UM8,2025-10-16,102.6641
912810UM8,2025-10-17,102.3125
912810UM8,2025-10-20,102.9141
912810UM8,2025-10-21,103.34375
912810UM8,2025-10-22,103.5469
912810UM8,2025-10-23,102.75
912810UM8,2025-10-24,102.51565
912810UM8,2025-10-27,103.1875
912810UM8,2025-10-28,103.39065
912810UM8,2025-10-29,101.9922
912810UM8,2025-10-30,101.50785
912810UM8,2025-10-31,101.5625
912810UM8,2025-11-03,100.9219
912810UM8,2025-11-04,101.34375
912810UM8,2025-11-05,100.1797
912810UM8,2025-11-06,101.1016
912810UM8,2025-11-07,100.7969
912810UM8,2025-11-10,100.6953
912810UM8,2025-11-11,100.6953
912810UM8,2025-11-12,101.3516
912810UM8,2025-11-13,100.57815
912810UM8,2025-11-14,99.984375
912810UM8,2025-11-17,100.1797
912810UM8,2025-11-18,100.2344
912810UM8,2025-11-19,99.851565
912810UM8,2025-11-20,100.39845
912810UM8,2025-11-21,100.5547
912810UM8,2025-11-24,101.2344
912810UM8,2025-11-25,101.57035
912810UM8,2025-11-26,101.71095
912810UM8,2025-11-27,101.71095
912810UM8,2025-11-28,101.35935
912810UM8,2025-12-01,100.20315
91282CNC1,2025-09-02,100.0391
91282CNC1,2025-09-03,100.39065
91282CNC1,2025-09-04,100.83595
91282CNC1,2025-09-05,101.51565
91282CNC1,2025-09-08,101.76565
91282CNC1,2025-09-09,101.39845
91282CNC1,2025-09-10,101.7344
91282CNC1,2025-09-11,101.9453
91282CNC1,2025-09-12,101.58595
91282CNC1,2025-09-15,101.8047
91282CNC1,2025-09-16,101.89845
91282CNC1,2025-09-17,101.40625
91282CNC1,2025-09-18,101.28905
91282CNC1,2025-09-19,101.1094
91282CNC1,2025-09-22,100.95315
91282CNC1,2025-09-23,101.27345
91282CNC1,2025-09-24,100.9453
91282CNC1,2025-09-25,100.7578
91282CNC1,2025-09-26,100.71095
91282CNC1,2025-09-29,101.0078
91282CNC1,2025-09-30,100.9141
91282CNC1,2025-10-01,101.3203
91282CNC1,2025-10-02,101.4453
91282CNC1,2025-10-03,101.14845
91282CNC1,2025-10-06,100.8828
91282CNC1,2025-10-07,101.1172
91282CNC1,2025-10-08,101.14845
91282CNC1,2025-10-09,100.9922
91282CNC1,2025-10-10,101.83595
91282CNC1,2025-10-13,101.83595
91282CNC1,2025-10-14,101.8516
91282CNC1,2025-10-15,101.8672
91282CNC1,2025-10-16,102.3047
91282CNC1,2025-10-17,102.02345
91282CNC1,2025-10-20,102.2578
91282CNC1,2025-10-21,102.40625
91282CNC1,2025-10-22,102.5078
91282CNC1,2025-10-23,102.1016
91282CNC1,2025-10-24,102.08595
91282CNC1,2025-10-27,102.2578
91282CNC1,2025-10-28,102.2891
91282CNC1,2025-10-29,101.4922
91282CNC1,2025-10-30,101.3203
91282CNC1,2025-10-31,101.4766
91282CNC1,2025-11-03,101.21875
91282CNC1,2025-11-04,101.4141
91282CNC1,2025-11-05,100.83595
91282CNC1,2025-11-06,101.4297
91282CNC1,2025-11-07,101.33595
91282CNC1,2025-11-10,101.1797
91282CNC1,2025-11-11,101.1797
91282CNC1,2025-11-12,101.5547
91282CNC1,2025-11-13,101.2578
91282CNC1,2025-11-14,101.02345
91282CNC1,2025-11-17,101.1172
91282CNC1,2025-11-18,101.3203
91282CNC1,2025-11-19,101.1328
91282CNC1,2025-11-20,101.5547
91282CNC1,2025-11-21,101.71095
91282CNC1,2025-11-24,102.02345
91282CNC1,2025-11-25,102.2578
91282CNC1,2025-11-26,102.2891
91282CNC1,2025-11-27,102.2891
91282CNC1,2025-11-28,102.125
